"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2009","Cyprus","Thousand","563",""
"2009","Latvia","Thousand","426",""
"2009","Lithuania","Thousand","540","d"
"2009","Luxembourg","Thousand","660",""
"2009","Hungary","Thousand","301",""
"2009","Malta","Thousand","566",""
"2009","Netherlands","Thousand","460",""
"2009","Austria","Thousand","522",""
"2009","Poland","Thousand","434","b"
"2009","Portugal","Thousand",":",""
"2009","Romania","Thousand","209",""
"2009","Slovenia","Thousand","517",""
"2009","Slovakia","Thousand","295",""
"2009","Finland","Thousand","519","d"
"2009","Sweden","Thousand","460","d"
"2009","United Kingdom","Thousand","452","d"
"2009","Iceland","Thousand",":",""
"2009","Liechtenstein","Thousand","722",""
"2009","Norway","Thousand","462",""
"2009","Switzerland","Thousand","515","e"
"2009","Former Yugoslav Republic of Macedonia, the","Thousand","137",""
"2009","Turkey","Thousand","98",""
"2010","Belgium","Thousand","480","b"
"2010","Bulgaria","Thousand","353",""
"2010","Czechia","Thousand","429",""
"2010","Denmark","Thousand",":",""
"2010","Germany (until 1990 former territory of the FRG)","Thousand","527","b"
"2010","Estonia","Thousand","416",""
"2010","Ireland","Thousand","424",""
"2010","Greece","Thousand","469",""
"2010","Spain","Thousand","475","d"
"2010","France","Thousand","487",""
"2010","Croatia","Thousand","355",""
"2010","Italy","Thousand","619",""
"2010","Cyprus","Thousand","551",""
"2010","Latvia","Thousand","307","d"
"2010","Lithuania","Thousand","554","d"
"2010","Luxembourg","Thousand","659",""
"2010","Hungary","Thousand","299",""
"2010","Malta","Thousand","581",""
"2010","Netherlands","Thousand","464",""
"2010","Austria","Thousand","530",""
"2010","Poland","Thousand","453",""
"2010","Portugal","Thousand","444",""
"2010","Romania","Thousand","214",""
"2010","Slovenia","Thousand","518",""
"2010","Slovakia","Thousand","310",""
"2010","Finland","Thousand","535",""
"2010","Sweden","Thousand","460",""
"2010","United Kingdom","Thousand","451","d"
"2010","Iceland","Thousand",":",""
"2010","Liechtenstein","Thousand","744",""
"2010","Norway","Thousand","469",""
"2010","Switzerland","Thousand","518","be"
"2010","Former Yugoslav Republic of Macedonia, the","Thousand","151",""
"2010","Turkey","Thousand","102",""
"2011","Belgium","Thousand","488","b"
"2011","Bulgaria","Thousand","368",""
"2011","Czechia","Thousand","436",""
"2011","Denmark","Thousand",":",""
"2011","Germany (until 1990 former territory of the FRG)","Thousand","534",""
"2011","Estonia","Thousand","433",""
"2011","Ireland","Thousand","428",""
"2011","Greece","Thousand","469",""
"2011","Spain","Thousand","476","d"
"2011","France","Thousand","486","b"
"2011","Croatia","Thousand","355",""
"2011","Italy","Thousand","625",""
"2011","Cyprus","Thousand","545",""
"2011","Latvia","Thousand","299",""
"2011","Lithuania","Thousand","570","d"
"2011","Luxembourg","Thousand","658","b"
"2011","Hungary","Thousand","299","b"
"2011","Malta","Thousand","592",""
"2011","Netherlands","Thousand","470",""
