"TIME","GEO","UNIT","PERS_INV","Value","Flag and Footnotes"
"2004","Latvia","Number","Pedestrians","197",""
"2004","Lithuania","Number","Passengers",":",""
"2004","Lithuania","Number","Drivers",":",""
"2004","Lithuania","Number","Pedestrians",":",""
"2004","Luxembourg","Number","Passengers","6",""
"2004","Luxembourg","Number","Drivers","32",""
"2004","Luxembourg","Number","Pedestrians","12",""
"2004","Hungary","Number","Passengers","269",""
"2004","Hungary","Number","Drivers","701",""
"2004","Hungary","Number","Pedestrians","326",""
"2004","Malta","Number","Passengers",":",""
"2004","Malta","Number","Drivers",":",""
"2004","Malta","Number","Pedestrians",":",""
"2004","Netherlands","Number","Passengers","140",""
"2004","Netherlands","Number","Drivers","596",""
"2004","Netherlands","Number","Pedestrians","68",""
"2004","Austria","Number","Passengers","140",""
"2004","Austria","Number","Drivers","606",""
"2004","Austria","Number","Pedestrians","132",""
"2004","Poland","Number","Passengers","1,173",""
"2004","Poland","Number","Drivers","2,552",""
"2004","Poland","Number","Pedestrians","1,987",""
"2004","Portugal","Number","Passengers","285",""
"2004","Portugal","Number","Drivers","767",""
"2004","Portugal","Number","Pedestrians","231",""
"2004","Romania","Number","Passengers","574",""
"2004","Romania","Number","Drivers","807",""
"2004","Romania","Number","Pedestrians","1,059",""
"2004","Slovenia","Number","Passengers","62",""
"2004","Slovenia","Number","Drivers","177",""
"2004","Slovenia","Number","Pedestrians","35",""
"2004","Slovakia","Number","Passengers","143",""
"2004","Slovakia","Number","Drivers","266",""
"2004","Slovakia","Number","Pedestrians","199",""
"2004","Finland","Number","Passengers","101",""
"2004","Finland","Number","Drivers","225",""
"2004","Finland","Number","Pedestrians","49",""
"2004","Sweden","Number","Passengers","101",""
"2004","Sweden","Number","Drivers","312",""
"2004","Sweden","Number","Pedestrians","67",""
"2004","United Kingdom","Number","Passengers","673",""
"2004","United Kingdom","Number","Drivers","2,001",""
"2004","United Kingdom","Number","Pedestrians","694",""
"2004","Iceland","Number","Passengers","7",""
