"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2010","Slovakia","Total","Total","Number","5,390,410",""
"2010","Finland","Total","Total","Number","5,351,427",""
"2010","Sweden","Total","Total","Number","9,340,682",""
"2010","United Kingdom","Total","Total","Number","62,510,197",""
"2010","Iceland","Total","Total","Number","317,630",""
"2010","Liechtenstein","Total","Total","Number","35,894",""
"2010","Norway","Total","Total","Number","4,858,199",""
"2010","Switzerland","Total","Total","Number","7,785,806",""
"2010","Montenegro","Total","Total","Number","619,001",""
"2010","Former Yugoslav Republic of Macedonia, the","Total","Total","Number","2,052,722",""
"2010","Albania","Total","Total","Number","2,918,674",""
"2010","Serbia","Total","Total","Number","7,306,677",""
"2010","Turkey","Total","Total","Number","72,561,312",""
"2010","Andorra","Total","Total","Number","84,082",""
"2010","Belarus","Total","Total","Number","9,480,178",""
"2010","Bosnia and Herzegovina","Total","Total","Number","3,844,046",""
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number","2,208,107",""
"2010","Moldova","Total","Total","Number","3,563,695",""
"2010","Monaco","Total","Total","Number",":",""
"2010","Russia","Total","Total","Number","141,914,509",""
"2010","San Marino","Total","Total","Number",":",""
"2010","Ukraine","Total","Total","Number","45,782,592",""
"2010","Armenia","Total","Total","Number","3,249,482",""
"2010","Azerbaijan","Total","Total","Number","8,997,586",""
"2010","Georgia","Total","Total","Number","4,436,391",""
"2011","Belgium","Total","Total","Number","11,000,638","b"
"2011","Bulgaria","Total","Total","Number","7,369,431",""
"2011","Czechia","Total","Total","Number","10,486,731",""
"2011","Denmark","Total","Total","Number","5,560,628",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Total","Number","80,222,065","b"
"2011","Estonia","Total","Total","Number","1,329,660",""
"2011","Ireland","Total","Total","Number","4,570,881",""
"2011","Greece","Total","Total","Number","11,123,392",""
"2011","Spain","Total","Total","Number","46,667,174",""
"2011","France","Total","Total","Number","64,978,721",""
"2011","France (metropolitan)","Total","Total","Number","63,070,344",""
"2011","Croatia","Total","Total","Number","4,289,857",""
